Adresse,Date Debut,Description,Heure Debut,Titre,Titre + Description
"1 Rue Pierre Antoine Berryer, 92130 Issy-les-Moulineaux",13/09/2017,Venez découvrir une sculpture de Philippe Desloubières à l'EFB.,1899-12-30 08:00:00,La Biennale d'Issy s'expose à l'Ecole de Formation des Barreaux,La Biennale d'Issy s'expose à l'Ecole de Formation des Barreaux --- Venez découvrir une sculpture de Philippe Desloubières à l'EFB.
1 rue Rabelais 92130 Issy les Moulineaux,12/01/2020,Portes ouvertes par l'association Indissy,1899-12-30 13:00:00,Venez découvrir la danse Bollywood,Venez découvrir la danse Bollywood --- Portes ouvertes par l'association Indissy
1 rue Rabelais 92130 Issy les Moulineaux,16/04/2018,Stage ludique pour enfants,1899-12-30 10:00:00,Stage de vacances scolaires : Théâtre dansé,Stage de vacances scolaires : Théâtre dansé --- Stage ludique pour enfants
1 rue Rabelais 92130 Issy les Moulineaux,22/10/2018,"Stage de vacances scolaires : Théâtre dansé, éveil danse, théâtre et yoga",1899-12-30 10:00:00,STAGE DE DANSE,"Stage de danse --- Stage de vacances scolaires : Théâtre dansé, éveil danse, théâtre et yoga"
"1 rue Rabelais, 92130 Issy-les-moulineaux",03/07/2021,Sports pour tous au stade Alain Mimoun et Billancourt,1899-12-30 18:00:00,Issy fait bouger ton été,Issy fait bouger ton été --- Sports pour tous au stade Alain Mimoun et Billancourt
"1 rue Rabelais, 92130 Issy-les-moulineaux",04/02/2018,Journée 11 du Championnat de Nationale 3 -  Le Issy Hand affrontera Cherbourg au stade Alain Mimoun,1899-12-30 17:00:00,Handball Masculin: Issy Hand vs Cherbourg,Handball Masculin: Issy Hand vs Cherbourg --- Journée 11 du Championnat de Nationale 3 -  Le Issy Hand affrontera Cherbourg au stade Alain Mimoun
"1 rue Rabelais, 92130 Issy-les-moulineaux",07/10/2018,Rencontre du Championnat de France de Pro A Dames,1899-12-30 16:00:00,Tennis de Table Féminin - Championnat de France,Tennis de Table Féminin - Championnat de France --- Rencontre du Championnat de France de Pro A Dames
"1 rue Rabelais, 92130 Issy-les-moulineaux",07/10/2019,"Cours d'essai gratuit de ""double dutch""",1899-12-30 18:30:00,La corde à sauter version sportive à l’essai,"La corde à sauter version sportive à l’essai --- Cours d'essai gratuit de ""double dutch"""
"1 rue Rabelais, 92130 Issy-les-moulineaux",08/04/2018,Issy Volleyball evolue en Championnat N3,1899-12-30 15:00:00,Volleyball,Volleyball --- Issy Volleyball evolue en Championnat N3
"1 rue Rabelais, 92130 Issy-les-moulineaux",08/05/2018,Les féminines de l'équipe Pro du club reçoivent ce soir !,1899-12-30 19:30:00,Finale du Championnat de France,Finale du Championnat de France --- Les féminines de l'équipe Pro du club reçoivent ce soir !
